,Class,Paths,Pixel
219,0,DATA/no/No12.jpg,"[[[ 29  29  29]
  [ 18  18  18]
  [ 24  24  24]
  ...
  [ 24  24  24]
  [ 24  24  24]
  [ 24  24  24]]

 [[ 24  24  24]
  [ 24  24  24]
  [ 24  24  24]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[ 92  92  92]
  [ 91  91  91]
  [ 90  90  90]
  ...
  [ 87  87  87]
  [ 80  80  80]
  [ 73  73  73]]

 [[ 70  70  70]
  [ 72  72  72]
  [ 73  73  73]
  ...
  [107 107 107]
  [110 110 110]
  [112 112 112]]

 [[113 113 113]
  [115 115 115]
  [118 118 118]
  ...
  [ 10  10  10]
  [ 17  17  17]
  [ 24  24  24]]]"
0,1,DATA/yes/Y1.jpg,"[[[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 [[  4   4   4]
  [  4   4   4]
  [  4   4   4]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  3   3   3]
  [  3   3   3]
  [  3   3   3]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[111 111 111]
  [ 92  92  92]
  [ 90  90  90]
  ...
  [126 126 126]
  [122 122 122]
  [118 118 118]]

 [[116 116 116]
  [115 115 115]
  [116 116 116]
  ...
  [140 140 140]
  [143 143 143]
  [145 145 145]]

 [[130 130 130]
  [130 130 130]
  [130 130 130]
  ...
  [106 106 106]
  [144 144 144]
  [106 106 106]]]"
190,0,DATA/no/42 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [221 221 221]
  [211 211 211]
  [190 190 190]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 81  81  81]
  [ 80  80  80]
  [ 86  86  86]]

 [[ 89  89  89]
  [ 81  81  81]
  [ 75  75  75]
  ...
  [145 145 145]
  [136 136 136]
  [125 125 125]]]"
186,0,DATA/no/39 no.jpg,"[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [11 11 11]
  [11 11 11]
  [11 11 11]]

 ...

 [[11 11 11]
  [11 11 11]
  [11 11 11]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[11 11 11]
  [10 10 10]
  [10 10 10]
  ...
  [11 11 11]
  [11 11 11]
  [11 11 11]]

 [[11 11 11]
  [11 11 11]
  [11 11 11]
  ...
  [94 94 94]
  [81 81 81]
  [76 76 76]]]"
68,1,DATA/yes/Y24.jpg,"[[[  1   1   2]
  [  2   1   1]
  [  2   1   2]
  ...
  [  1   1   1]
  [  1   2   1]
  [  1   2   2]]

 [[  1   2   1]
  [  1   1   1]
  [  2   3   1]
  ...
  [  1   2   1]
  [  1   1   2]
  [  2   2   1]]

 [[  2   1   1]
  [  1   2   2]
  [  2   0   1]
  ...
  [  1   1   1]
  [  1   1   2]
  [  1   1   1]]

 ...

 [[ 74  63  52]
  [ 42  31  19]
  [ 12   8   4]
  ...
  [ 45  41  38]
  [ 36  38  38]
  [ 39  43  50]]

 [[ 58  70  79]
  [ 87  91  93]
  [ 92  90  87]
  ...
  [132 110  84]
  [ 58  34  15]
  [  2   1   3]]

 [[  1   1   1]
  [  2   1   0]
  [  1   1   4]
  ...
  [  1   1   2]
  [  2   2   1]
  [  0   1   2]]]"
157,0,DATA/no/11 no.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [76 76 76]
  [76 76 76]
  [73 73 73]]

 [[67 67 67]
  [58 58 58]
  [49 49 49]
  ...
  [77 77 77]
  [71 71 71]
  [65 65 65]]]"
53,1,DATA/yes/Y184.JPG,"[[[31 31 31]
  [33 33 33]
  [32 32 32]
  ...
  [57 57 57]
  [63 63 63]
  [66 66 66]]

 [[66 66 66]
  [67 67 67]
  [72 72 72]
  ...
  [30 30 30]
  [29 29 29]
  [28 28 28]]

 [[25 25 25]
  [22 22 22]
  [20 20 20]
  ...
  [23 23 23]
  [23 23 23]
  [23 23 23]]

 ...

 [[30 30 30]
  [29 29 29]
  [28 28 28]
  ...
  [25 25 25]
  [24 24 24]
  [24 24 24]]

 [[24 24 24]
  [24 24 24]
  [23 23 23]
  ...
  [29 29 29]
  [27 27 27]
  [25 25 25]]

 [[25 25 25]
  [25 25 25]
  [26 26 26]
  ...
  [27 27 27]
  [26 26 26]
  [26 26 26]]]"
140,1,DATA/yes/Y81.jpg,"[[[ 22  24  23]
  [ 24  26  25]
  [ 27  29  28]
  ...
  [ 31  33  32]
  [ 32  34  33]
  [ 32  34  33]]

 [[ 32  34  33]
  [ 32  34  33]
  [ 32  34  33]
  ...
  [ 32  33  35]
  [ 30  31  33]
  [ 28  29  31]]

 [[ 29  30  32]
  [ 30  31  33]
  [ 31  32  34]
  ...
  [ 61  62  64]
  [ 63  64  66]
  [ 64  65  67]]

 ...

 [[193 194 196]
  [171 172 174]
  [111 112 114]
  ...
  [ 34  36  35]
  [ 35  37  36]
  [ 32  34  33]]

 [[ 35  37  36]
  [ 36  38  37]
  [ 36  38  37]
  ...
  [101 102 104]
  [115 116 118]
  [105 106 108]]

 [[106 110 111]
  [ 98 102 103]
  [ 91  95  96]
  ...
  [ 98 102 103]
  [106 110 111]
  [119 123 124]]]"
130,1,DATA/yes/Y70.jpg,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 2 2]
  [2 2 2]
  [2 1 1]]

 [[3 3 3]
  [3 2 2]
  [1 1 0]
  ...
  [1 1 1]
  [1 1 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[8 5 0]
  [0 0 0]
  [7 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 1 1]
  [1 2 2]
  [1 0 1]]]"
23,1,DATA/yes/Y14.jpg,"[[[ 12  15  19]
  [ 23  23  21]
  [ 18  15  17]
  ...
  [246 243 240]
  [244 239 231]
  [221 208 192]]

 [[175 164 166]
  [177 191 205]
  [218 213 178]
  ...
  [ 19  20  20]
  [ 21  21  21]
  [ 22  19  20]]

 [[ 23  19  15]
  [ 27  46  69]
  [ 96 128 152]
  ...
  [ 18  18  18]
  [ 18  19  19]
  [ 19  19  17]]

 ...

 [[139 139 137]
  [133 128 126]
  [128 130 136]
  ...
  [ 21  21  21]
  [ 20  20  20]
  [ 20  20  20]]

 [[ 20  20  20]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [158 157 156]
  [155 155 155]
  [148 147 145]]

 [[141 137 136]
  [138 140 146]
  [148 150 150]
  ...
  [118 101 120]
  [129 117 111]
  [119 126 123]]]"
166,0,DATA/no/20 no.jpg,"[[[255 255 255]
  [249 249 249]
  [251 251 251]
  ...
  [ 25  25  25]
  [ 25  25  25]
  [ 25  25  25]]

 [[ 25  25  25]
  [ 25  25  25]
  [ 25  25  25]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  7   7   7]
  [  8   8   8]
  [  6   6   6]]

 ...

 [[243 243 243]
  [236 236 236]
  [107 107 107]
  ...
  [160 160 160]
  [128 128 128]
  [131 131 131]]

 [[125 125 125]
  [110 110 110]
  [142 142 142]
  ...
  [153 153 153]
  [152 152 152]
  [142 142 142]]

 [[134 134 134]
  [123 123 123]
  [118 118 118]
  ...
  [ 54  54  54]
  [ 38  38  38]
  [ 65  65  65]]]"
17,1,DATA/yes/Y115.JPG,"[[[ 1  1  1]
  [ 1  1  1]
  [ 2  2  2]
  ...
  [ 0  0  0]
  [ 1  1  1]
  [ 3  3  3]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 1  1  1]
  [ 2  2  2]
  [ 2  2  2]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 2  2  2]
  ...
  [ 5  5  5]
  [ 4  4  4]
  [ 3  3  3]]

 [[ 1  1  1]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 7  7  7]]

 [[ 5  5  5]
  [ 3  3  3]
  [ 1  1  1]
  ...
  [ 4  4  4]
  [ 3  3  3]
  [ 2  2  2]]]"
204,0,DATA/no/N1.JPG,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 99  99  99]
  [ 96  96  96]
  [ 95  95  95]
  ...
  [ 99  99  99]
  [107 107 107]
  [109 109 109]]

 [[104 104 104]
  [109 109 109]
  [112 112 112]
  ...
  [ 97  97  97]
  [104 104 104]
  [103 103 103]]

 [[ 95  95  95]
  [111 111 111]
  [108 108 108]
  ...
  [101 101 101]
  [102 102 102]
  [ 97  97  97]]]"
44,1,DATA/yes/Y168.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 80  80  80]
  [ 91  91  91]
  [ 83  83  83]
  ...
  [103 103 103]
  [ 84  84  84]
  [ 72  72  72]]

 [[ 66  66  66]
  [ 31  31  31]
  [ 12  12  12]
  ...
  [184 184 184]
  [191 191 191]
  [195 195 195]]

 [[185 185 185]
  [182 182 182]
  [173 173 173]
  ...
  [102 102 102]
  [110 110 110]
  [121 121 121]]]"
248,0,DATA/no/no 96.jpg,"[[[0.         0.         0.        ]
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  ...
  [1.         0.03921569 0.03921569]
  [0.03921569 1.         0.03921569]
  [0.03921569 0.03921569 1.        ]]

 [[0.03921569 0.03921569 0.03921569]
  [1.         0.03921569 0.03921569]
  [0.03921569 1.         0.03921569]
  ...
  [1.         0.03921569 0.03921569]
  [0.03921569 1.         0.03921569]
  [0.03921569 0.03921569 1.        ]]

 [[0.03921569 0.03921569 0.03921569]
  [1.         0.03921569 0.03921569]
  [0.03921569 1.         0.03921569]
  ...
  [1.         0.03921569 0.03921569]
  [0.03921569 1.         0.03921569]
  [0.03921569 0.03921569 1.        ]]

 ...

 [[0.49803922 0.49803922 0.49803922]
  [1.         0.4745098  0.4745098 ]
  [0.4745098  1.         0.4745098 ]
  ...
  [1.         0.43137255 0.43137255]
  [0.43137255 1.         0.5058824 ]
  [0.5058824  0.5058824  1.        ]]

 [[0.58431375 0.58431375 0.58431375]
  [1.         0.64705884 0.64705884]
  [0.64705884 1.         0.6862745 ]
  ...
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  [0.         0.         1.        ]]

 [[0.         0.         0.        ]
  [1.         0.00784314 0.00784314]
  [0.00784314 1.         0.04313726]
  ...
  [1.         0.30980393 0.30980393]
  [0.30980393 1.         0.29411766]
  [0.29411766 0.29411766 1.        ]]]"
193,0,DATA/no/45 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [  2   2   2]
  [  1   1   1]
  ...
  [205 205 205]
  [201 201 201]
  [197 197 197]]

 [[181 181 181]
  [163 163 163]
  [145 145 145]
  ...
  [167 167 167]
  [175 175 175]
  [169 169 169]]

 [[159 159 159]
  [161 161 161]
  [173 173 173]
  ...
  [255 255 255]
  [198 198 198]
  [121 121 121]]]"
38,1,DATA/yes/Y162.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
52,1,DATA/yes/Y183.jpg,"[[[199 199 199]
  [128 128 128]
  [136 136 136]
  ...
  [136 136 136]
  [136 136 136]
  [136 136 136]]

 [[136 136 136]
  [136 136 136]
  [136 136 136]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [110 110 110]
  [107 107 107]
  [105 105 105]]

 ...

 [[ 78  78  78]
  [ 83  83  83]
  [ 91  91  91]
  ...
  [ 77  77  77]
  [ 76  76  76]
  [ 78  78  78]]

 [[ 79  79  79]
  [ 83  83  83]
  [ 88  88  88]
  ...
  [241 241 241]
  [221 221 221]
  [219 219 219]]

 [[212 212 212]
  [172 172 172]
  [125 125 125]
  ...
  [135 135 135]
  [134 134 134]
  [131 131 131]]]"
147,1,DATA/yes/Y91.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [83 83 83]
  [83 83 83]
  [83 83 83]]

 [[83 83 83]
  [87 87 87]
  [92 92 92]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]"
16,1,DATA/yes/Y114.JPG,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 ...

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 54  54  54]
  [ 76  76  76]
  [110 110 110]]

 [[105 105 105]
  [114 114 114]
  [112 112 112]
  ...
  [ 97  97  97]
  [104 104 104]
  [102 102 102]]

 [[108 108 108]
  [118 118 118]
  [109 109 109]
  ...
  [204 204 204]
  [178 178 178]
  [ 58  58  58]]]"
159,0,DATA/no/13 no.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [221 221 221]
  [211 211 211]
  [190 190 190]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 81  81  81]
  [ 80  80  80]
  [ 86  86  86]]

 [[ 89  89  89]
  [ 81  81  81]
  [ 75  75  75]
  ...
  [145 145 145]
  [136 136 136]
  [125 125 125]]]"
64,1,DATA/yes/Y20.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
177,0,DATA/no/30 no.jpg,"[[[ 31  31  29]
  [ 31  31  29]
  [ 31  31  29]
  ...
  [ 68  68  66]
  [ 74  74  72]
  [114 114 112]]

 [[175 175 175]
  [220 220 220]
  [248 248 248]
  ...
  [ 71  71  71]
  [ 73  73  73]
  [ 77  77  77]]

 [[ 79  79  79]
  [ 96  96  96]
  [106 106 106]
  ...
  [ 54  54  52]
  [ 61  61  59]
  [ 53  53  51]]

 ...

 [[124 124 124]
  [123 123 123]
  [120 120 120]
  ...
  [127 127 127]
  [135 135 135]
  [150 150 150]]

 [[143 143 143]
  [134 134 134]
  [143 143 143]
  ...
  [115 115 115]
  [118 118 118]
  [120 120 120]]

 [[136 136 136]
  [143 143 143]
  [131 131 131]
  ...
  [ 31  31  31]
  [ 31  31  31]
  [ 31  31  31]]]"
207,0,DATA/no/N16.jpg,"[[[105 105 105]
  [ 64  64  64]
  [ 66  66  66]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 [[ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]
  ...
  [  4   4   4]
  [  4   4   4]
  [  4   4   4]]

 ...

 [[ 74  74  74]
  [ 75  75  75]
  [ 75  75  75]
  ...
  [ 51  51  51]
  [ 66  66  66]
  [100 100 100]]

 [[140 140 140]
  [ 79  79  79]
  [ 41  41  41]
  ...
  [  7   7   7]
  [  7   7   7]
  [  7   7   7]]

 [[  7   7   7]
  [  7   7   7]
  [  7   7   7]
  ...
  [  0   0   0]
  [ 13  13  13]
  [ 46  46  46]]]"
203,0,DATA/no/9 no.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 5  5  5]
  [ 5  5  5]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [13 13 13]
  [12 12 12]
  [11 11 11]]

 ...

 [[61 61 61]
  [59 59 59]
  [59 59 59]
  ...
  [ 0  0  0]
  [ 1  1  1]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 2  2  2]
  [ 0  0  0]
  ...
  [23 23 23]
  [25 25 25]
  [28 28 28]]

 [[30 30 30]
  [30 30 30]
  [29 29 29]
  ...
  [32 32 32]
  [20 20 20]
  [ 0  0  0]]]"
50,1,DATA/yes/Y181.jpg,"[[[101 101 101]
  [ 96  96  96]
  [ 90  90  90]
  ...
  [ 96  96  96]
  [ 96  96  96]
  [ 96  96  96]]

 [[ 96  96  96]
  [ 96  96  96]
  [ 95  95  95]
  ...
  [112 112 112]
  [116 116 116]
  [115 115 115]]

 [[115 115 115]
  [115 115 115]
  [114 114 114]
  ...
  [ 17  17  17]
  [ 17  17  17]
  [ 17  17  17]]

 ...

 [[ 69  69  69]
  [ 70  70  70]
  [ 72  72  72]
  ...
  [118 118 118]
  [117 117 117]
  [121 121 121]]

 [[126 126 126]
  [127 127 127]
  [122 122 122]
  ...
  [128 128 128]
  [124 124 124]
  [116 116 116]]

 [[109 109 109]
  [105 105 105]
  [ 98  98  98]
  ...
  [132 132 132]
  [139 139 139]
  [143 143 143]]]"
141,1,DATA/yes/Y82.jpg,"[[[ 44  48  49]
  [ 44  48  49]
  [ 45  49  50]
  ...
  [ 46  50  51]
  [ 46  50  51]
  [ 47  51  52]]

 [[ 47  51  52]
  [ 47  51  52]
  [ 47  51  52]
  ...
  [ 47  51  52]
  [ 47  51  52]
  [ 47  51  52]]

 [[ 47  51  52]
  [ 47  51  52]
  [ 47  51  52]
  ...
  [ 49  53  54]
  [ 51  55  56]
  [ 50  54  55]]

 ...

 [[182 185 190]
  [180 183 188]
  [172 175 180]
  ...
  [144 147 152]
  [140 143 148]
  [148 151 156]]

 [[156 159 164]
  [155 158 163]
  [143 146 151]
  ...
  [112 115 120]
  [129 132 137]
  [133 136 141]]

 [[128 132 133]
  [119 123 124]
  [110 114 115]
  ...
  [ 47  51  52]
  [ 47  51  52]
  [ 47  51  52]]]"
63,1,DATA/yes/Y2.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[140 140 140]
  [152 152 152]
  [146 146 146]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  5   5   5]
  [117 117 117]
  ...
  [193 193 193]
  [188 188 188]
  [175 175 175]]

 [[184 184 184]
  [185 185 185]
  [142 142 142]
  ...
  [169 169 169]
  [170 170 170]
  [151 151 151]]]"
127,1,DATA/yes/Y67.JPG,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[160 160 160]
  [ 79  79  79]
  [ 28  28  28]
  ...
  [129 129 129]
  [129 129 129]
  [129 129 129]]

 [[134 134 134]
  [134 134 134]
  [131 131 131]
  ...
  [ 78  78  78]
  [ 56  56  56]
  [ 40  40  40]]

 [[ 29  29  29]
  [ 22  22  22]
  [ 20  20  20]
  ...
  [145 145 145]
  [ 75  75  75]
  [ 19  19  19]]]"
79,1,DATA/yes/Y251.JPG,"[[[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  1   1   1]
  [  2   2   2]
  [  2   2   2]]

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 ...

 [[  2   2   2]
  [  2   2   2]
  [  2   2   2]
  ...
  [107 107 107]
  [127 127 127]
  [105 105 105]]

 [[ 58  58  58]
  [ 23  23  23]
  [ 19  19  19]
  ...
  [ 33  33  33]
  [ 18  18  18]
  [ 13  13  13]]

 [[ 21  21  21]
  [ 27  27  27]
  [ 21  21  21]
  ...
  [ 91  91  91]
  [ 85  85  85]
  [ 77  77  77]]]"
180,0,DATA/no/33 no.jpg,"[[[225 225 225]
  [211 211 211]
  [202 202 202]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 10  10  10]
  [ 10  10  10]
  [ 10  10  10]]

 ...

 [[ 94  94  94]
  [102 102 102]
  [106 106 106]
  ...
  [111 111 111]
  [115 115 115]
  [117 117 117]]

 [[114 114 114]
  [108 108 108]
  [101 101 101]
  ...
  [102 102 102]
  [102 102 102]
  [ 99  99  99]]

 [[ 93  93  93]
  [ 99  99  99]
  [103 103 103]
  ...
  [ 89  89  89]
  [ 80  80  80]
  [ 44  44  44]]]"
48,1,DATA/yes/Y18.JPG,"[[[255 255 255]
  [253 253 253]
  [180 180 180]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 78  78  78]
  [ 87  87  87]
  [ 99  99  99]
  ...
  [  1   1   1]
  [  1   1   1]
  [  6   6   6]]

 [[  4   4   4]
  [ 11  11  11]
  [ 41  41  41]
  ...
  [  3   3   3]
  [  4   4   4]
  [  3   3   3]]

 [[  2   2   2]
  [  9   9   9]
  [ 22  22  22]
  ...
  [117 117 117]
  [114 114 114]
  [ 87  87  87]]]"
